%%% Global Salinity-Contrast (0-2000m) time series from 1940 to present (v1, Monthly)
%%% Cheng L., K. E. Trenberth, N. Gruber, J. P. Abraham, J. Fasullo, G. Li, M. E. Mann, X. Zhao, Jiang Zhu, 2020: Improved estimates of changes in upper ocean salinity and the hydrological cycle. Journal of Climate. In press, doi: https://doi.org/10.1175/JCLI-D-20-0366.1.

%%% Update date: August 2020 by L.Cheng
%%% unit of Salinity:  Absolute Salinity (g/kg)
%%% Baseline: 2008-2018

%%% Link to Ocean Gridded Salinity Analysis: 
%%% ftp://ds1.iap.ac.cn/ftp/cheng/CZ16_v0_IAP_Salinity_gridded_1month_netcdf/
%%% OR:  https://pan.cstcloud.cn/s/EEn0iwdSaI


[year]  [global mean SC]  [2s.d. error range] [smoothed global mean SC, by LOWESS with span width of 240 month]
2018.417  0.00120  0.00096  0.00142
2018.500  0.00088  0.00093  0.00144
2018.583  0.00136  0.00094  0.00146
2018.667  0.00158  0.00095  0.00148
2018.750  0.00195  0.00095  0.00150
2018.833  0.00203  0.00098  0.00152
2018.917  0.00175  0.00101  0.00154
2019.000  0.00177  0.00107  0.00156
2019.083  0.00217  0.00107  0.00158
2019.167  0.00163  0.00104  0.00160
2019.250  0.00187  0.00109  0.00163
2019.333  0.00181  0.00110  0.00165
2019.417  0.00172  0.00110  0.00167
2019.500  0.00154  0.00108  0.00169
2019.583  0.00160  0.00108  0.00171
2019.667  0.00125  0.00108  0.00173
2019.750  0.00143  0.00112  0.00175
2019.833  0.00090  0.00115  0.00177
2019.917  0.00077  0.00116  0.00179
2020.000  0.00047  0.00115  0.00163
2020.083  0.00084  0.00112  0.00165
2020.167  0.00098  0.00115  0.00167
2020.250  0.00122  0.00117  0.00169
2020.333  0.00071  0.00115  0.00171
2020.417  0.00083  0.00116  0.00172
2020.500  0.00029  0.00117  0.00174
2020.583  0.00015  0.00119  0.00176
2020.667  0.00020  0.00134  0.00178
2020.750  -0.00065  0.00134  0.00180
2020.833  -0.00125  0.00134  0.00181
2020.917  -0.00066  0.00134  0.00183
