sc,ssta_mean
-0.00979,-0.0390919
-0.00982,-0.018574338
-0.00986,0.06441232
-0.00965,0.05480289
-0.01008,0.061055135
-0.00979,0.05715315
-0.00945,0.019748818
-0.0089,0.0424574
-0.00818,0.046619017
-0.00787,0.019646859
-0.00692,0.035904367
-0.00657,0.017176257
-0.00583,0.0016006804
-0.00592,-4.5631186e-06
-0.0057,-0.01352511
-0.00641,-0.002680889
-0.00688,0.046983495
-0.00709,0.019999562
-0.00768,0.011630379
-0.00834,0.024882603
-0.00786,0.015231899
-0.00826,-0.008655267
-0.00833,-0.045551717
-0.00791,-0.049089443
-0.00804,-0.049110767
-0.00759,-0.04275802
-0.00839,0.006870301
-0.00825,0.02083868
-0.00769,0.022821598
-0.00782,0.029280072
-0.00687,0.015085453
-0.00763,-0.12186041
-0.00773,-0.17428873
-0.00825,-0.15637657
-0.0082,-0.17326507
-0.00779,-0.15868166
-0.00763,-0.112074256
-0.00745,-0.04541396
-0.00679,-0.037068088
-0.0066,-0.04042018
-0.00681,-0.0407296
-0.00671,-0.00055484124
-0.00685,-0.0041461824
-0.00703,-0.07097166
-0.00719,-0.066985466
-0.00636,-0.05671131
-0.00642,-0.08757825
-0.00679,-0.093664855
-0.00648,-0.13451244
-0.00613,-0.13383357
-0.00591,-0.1236654
-0.00576,-0.07744375
-0.00546,-0.039836176
-0.00573,-0.016351666
-0.00631,-0.037164833
-0.00604,-0.044888392
-0.00574,-0.024339482
-0.00592,-0.05222239
-0.00603,-0.027343204
-0.00589,-0.006999976
-0.00637,0.02137344
-0.00508,0.008251937
-0.00497,0.02475807
-0.00498,0.010125773
-0.00511,-0.026545577
-0.00517,-0.059763458
-0.00467,-0.018714515
-0.00414,0.015423656
-0.00383,0.0600858
-0.00376,0.0060883947
-0.0045,-0.0011585825
-0.0049,-0.027383564
-0.00493,-0.09041974
-0.00361,-0.08829086
-0.00352,-0.052014563
-0.00344,-0.035514135
-0.00346,-0.03453281
-0.00373,-0.049009226
-0.00381,-0.047058493
-0.00481,-0.10207088
-0.00529,-0.0355706
-0.00556,-0.056149885
-0.00578,-0.09644122
-0.00626,-0.06714438
-0.00634,-0.040626153
-0.00554,-0.048346322
-0.0051,-0.011790831
-0.00495,0.006802408
-0.00468,-0.03371014
-0.0045,0.0038403121
-0.00435,0.064466454
-0.00508,0.11012788
-0.00578,0.12488473
-0.00598,0.14741223
-0.00644,0.15128933
-0.00633,0.1211909
-0.0061,0.14376543
-0.00602,0.1591813
-0.00609,0.16037
-0.00646,0.1491658
-0.00647,0.15402201
-0.006,0.16907893
-0.00578,0.18571448
-0.0055,0.17123425
-0.00551,0.173295
-0.00558,0.05830224
-0.00536,0.04153685
-0.00533,0.05000879
-0.00569,0.017018823
-0.00485,-0.004655696
-0.00471,-0.014698543
-0.0049,0.05460516
-0.00474,0.018463459
-0.00397,-0.04464522
-0.0035,-0.02057361
-0.00362,-0.049087867
-0.00392,-0.025992261
-0.00412,-0.03729431
-0.00453,-0.059533775
-0.00449,-0.05128921
-0.00405,-0.033088323
