duration,intensity_
12,2.0774076329701465
6,2.2035294445360982
19,2.3123786803501787
7,1.8389398280960698
20,1.5140416479279288
5,1.7287909552713856
12,2.289049558885541
5,1.1336701200442043
6,1.7835286241768777
6,2.06436192278521
16,1.5638319229629793
17,2.789316383893663
10,2.2847814275247345
17,2.0700419054720314
13,1.5290257188375627
6,1.7884392212347997
10,2.502377716954804
8,1.7460561156120988
5,1.7167356257170425
39,2.484483087823005
14,2.5756822359895217
5,1.4348919823506812
20,2.221960766493506
5,1.5532617741791306
95,3.779847739773505
29,2.8832591254958793
6,1.538207533951276
5,1.8788002099351644
14,2.595122647488072
7,1.936572471662867
12,1.858327532148067
12,2.2338493855450245
9,1.671692986104361
5,1.6668089919632258
35,3.8128857238640848
11,2.148130030782255
10,2.0187918707986867
10,1.8142588261383992
9,2.0902252824012812
5,1.5672825758004407
5,1.424922177680262
18,2.5902252824012812
5,1.2568091445511236
24,2.618816980536465
17,2.716539826103798
105,6.5454626269103855
19,2.3438669927981124
19,2.606171305425754
12,2.088801344459874
5,1.6571132656469985
39,2.5232610875336334
100,3.2856025552380217
5,1.60010000877568
14,3.353631514895792
14,2.579152207131145
13,1.8288577983536491
5,2.1636076328476257
5,1.4749214147407628
7,1.4460549712028978
6,1.8223067872452354
11,1.8792097088949369
12,2.2571117397680993
10,1.3943423520659088
5,1.5854959233344204
7,2.432629602978494
5,1.3471089757575783
7,1.2015008255900916
5,1.5258939720264983
5,1.6611656739985783
19,2.151866225857816
