time_start,time_end,time_peak,date_start,date_end,date_peak,index_start,index_end,index_peak,duration,duration_moderate,duration_strong,duration_severe,duration_extreme,intensity_max,intensity_mean,intensity_var,intensity_cumulative,intensity_max_relThresh,intensity_mean_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_max_abs,intensity_mean_abs,intensity_var_abs,intensity_cumulative_abs,category,rate_onset,rate_decline,n_events
723580,723585,723582,1982-02-04,1982-02-09,1982-02-06,34,39,36,6,6,0,0,0,1.6875314481169301,1.6493607659081408,0.04782280871722882,9.896164595448845,0.20135492817048295,0.1707526299261306,0.06531133514472631,1.0245157795567836,6.19000005722046,6.131666580835979,0.05428831584019653,36.789999485015876,Moderate,0.10397963543047091,0.07379254328325187,63
723934,723951,723937,1983-01-24,1983-02-10,1983-01-27,388,405,391,18,18,0,0,0,2.2274198893882584,1.9402773405871132,0.17657169799607983,34.924992130568036,0.6032256218694885,0.39318632771892,0.16741681330149225,7.07735389894056,7.21999979019165,6.664444367090861,0.3482691014733411,119.9599986076355,Moderate,0.2960612955245298,0.04925728485333893,63
723960,723964,723962,1983-02-19,1983-02-23,1983-02-21,414,418,416,5,5,0,0,0,1.4701637667331044,1.4108060232292714,0.05415621130519308,7.054030116146357,0.172451417676867,0.1126579773810624,0.04579466729339848,0.563289886905312,5.40999984741211,5.351999950408937,0.09282238831953885,26.75999975204468,Moderate,0.06138669412757754,0.09016615884610121,63
723972,723976,723975,1983-03-03,1983-03-07,1983-03-06,426,430,429,5,5,0,0,0,1.4163773211063906,1.354962131337785,0.05897693142953151,6.774810656688926,0.17400008632290653,0.11154843268855999,0.0593343509396893,0.5577421634427999,5.09000015258789,5.038000106811524,0.06144927499358335,25.19000053405762,Moderate,0.16267197621443152,0.3601851034684935,63
724078,724083,724080,1983-06-17,1983-06-22,1983-06-19,532,537,534,6,6,0,0,0,3.2105257897119586,2.538122221895112,0.46623004903368803,15.228733331370673,1.4245808262979196,0.7529784233339406,0.464714949723512,4.517870540003644,13.3000001907349,12.691666603088384,0.4905581985427988,76.1499996185303,Moderate,0.5388021956961111,0.4246677906933102,63
724332,724338,724334,1984-02-26,1984-03-03,1984-02-28,786,792,788,7,7,0,0,0,2.4392185447197967,2.0370711729314777,0.30134941892319933,14.259498210520343,1.1835481412949136,0.7831796353863112,0.2971790754369075,5.482257447704178,6.19999980926514,5.784285681588307,0.32979884955880306,40.48999977111815,Moderate,0.297297017564811,0.22016505360949112,63
724350,724360,724356,1984-03-15,1984-03-25,1984-03-21,804,814,810,11,11,0,0,0,1.7887848695065438,1.5162486186093624,0.15628904779835434,16.678734804702987,0.5580644884417154,0.2841817560783234,0.15698131149457517,3.1259993168615576,5.5,5.221818143671208,0.15272188964666872,57.43999958038329,Moderate,0.16278598392298707,0.12287264925435364,63
725144,725150,725145,1986-05-18,1986-05-24,1986-05-19,1598,1604,1599,7,7,0,0,0,2.20103696066864,1.9682107008389784,0.19009006753781427,13.777474905872849,0.6369677574403809,0.37995398648873036,0.20356030257876206,2.6596779054211126,8.96000003814697,8.902857235499791,0.1730989297794417,62.320000648498535,Moderate,0.625442393528779,0.1430502986057864,63
726255,726262,726257,1989-06-02,1989-06-09,1989-06-04,2709,2716,2711,8,8,0,0,0,2.4571296273429866,2.0763607274742912,0.2150801091668717,16.61088581979433,0.7968384342809198,0.39018536690742534,0.2350813628561476,3.1214829352594027,10.7399997711182,10.527499914169313,0.23578309166504943,84.2199993133545,Moderate,0.3191140052707436,0.12651788535088765,63
726685,726690,726686,1990-08-06,1990-08-11,1990-08-07,3139,3144,3140,6,6,0,0,0,2.8944745575434556,2.506768097055109,0.2650382035010082,15.040608582330654,0.9221289111722086,0.5416664041498519,0.2620331163614261,3.249998424899111,17.7399997711182,17.401666323343917,0.2629583022924152,104.4099979400635,Moderate,0.5757099446292546,0.20454907275669873,63
726694,726698,726696,1990-08-15,1990-08-19,1990-08-17,3148,3152,3150,5,5,0,0,0,2.6519483311282634,2.3773504440206503,0.23114072192331095,11.88675222010325,0.7327735285605037,0.4577417828959526,0.2347117862292463,2.2887089144797628,17.7199993133545,17.44199981689452,0.23752036315379405,87.2099990844726,Moderate,0.35028708561425714,0.33679537923366143,63
726981,726987,726987,1991-05-29,1991-06-04,1991-06-04,3435,3441,3441,7,7,0,0,0,2.0071298180777877,1.864754792423417,0.10078068318495705,13.053283546963918,0.34683862501572094,0.22038713490358372,0.09474892836571867,1.542709944325086,10.289999961853,9.837142944335938,0.2954761348593085,68.86000061035156,Moderate,0.07277738263673143,0.9180649362010644,63
728129,728133,728132,1994-07-20,1994-07-24,1994-07-23,4583,4587,4586,5,5,0,0,0,2.685565470250795,2.375010707269211,0.24727457758091712,11.875053536346053,0.7772906887915632,0.4790838020078695,0.24460360165891173,2.3954190100393475,16.6000003814697,16.20599994659424,0.29493049904650764,81.0299997329712,Moderate,0.22632113874048013,0.45522398902893774,63
728137,728146,728142,1994-07-28,1994-08-06,1994-08-02,4591,4600,4596,10,10,0,0,0,3.637821657387459,3.1419884449575677,0.411265103941049,31.419884449575676,1.6687742787022692,1.173722725529818,0.408348042359847,11.73722725529818,18.25,17.712000083923343,0.5281630070519964,177.12000083923343,Moderate,0.2836303418033866,0.26299648089063726,63
730000,730012,730012,1999-09-03,1999-09-15,1999-09-15,6454,6466,6466,13,13,0,0,0,2.7011678382878284,2.310660309420786,0.15347324820310887,30.038584022470218,0.7524518043763742,0.3631611561360958,0.15423883926032406,4.721095029769245,16.9200000762939,16.79999982393704,0.18973664878497615,218.3999977111815,Moderate,0.0651960675742739,1.100727491409545,63
730122,730127,730126,2000-01-03,2000-01-08,2000-01-07,6576,6581,6580,6,6,0,0,0,2.1334533262767756,1.977697389145944,0.12712321125623066,11.866184334875664,0.3952259494412331,0.2398173445014525,0.12755140232820197,1.438904067008715,8.34000015258789,8.288333495457964,0.15763008292877767,49.73000097274779,Moderate,0.10193481132855127,0.2805943438578753,63
730216,730222,730218,2000-04-06,2000-04-12,2000-04-08,6670,6676,6672,7,7,0,0,0,2.086262179201767,1.5798237817114564,0.24898359703553308,11.058766471980196,0.8274194379006685,0.321612977322348,0.24890416401471754,2.251290841256436,6.19000005722046,5.722857202802388,0.24317626111726845,40.06000041961671,Moderate,0.3547651817578288,0.16869732064187085,63
731076,731086,731085,2002-08-14,2002-08-24,2002-08-23,7530,7540,7539,11,10,0,0,0,2.848914340327756,2.255310693776859,0.28714225977986657,24.808417631545453,0.94070913253287,0.3390676615874226,0.29185826511723206,3.7297442774616485,17.8899993896484,17.310909271240227,0.2807928462416718,190.4200019836425,Moderate,0.11862575146140476,0.5056705401708582,63
732697,732702,732700,2007-01-21,2007-01-26,2007-01-24,9151,9156,9154,6,6,0,0,0,2.632637993842464,2.2336283031464763,0.30948629668210476,13.401769818878858,0.9685808797036453,0.5670537558935015,0.3049934094152508,3.4023225353610087,7.78000020980835,7.408333301544187,0.3373631720080937,44.44999980926512,Moderate,0.32241243280774384,0.49230338426557446,63
733635,733640,733637,2009-08-16,2009-08-21,2009-08-18,10089,10094,10091,6,6,0,0,0,2.6483570827166076,2.54119231267828,0.10157034898427052,15.247153876069678,0.7336122574344657,0.6262039410170642,0.10549081214347328,3.7572236461023856,17.7199993133545,17.60833295186362,0.10478792036035428,105.64999771118171,Moderate,0.2197140952897037,0.21447749916088327,63
733957,733974,733960,2010-07-04,2010-07-21,2010-07-07,10411,10428,10414,18,16,2,0,0,4.063651935203907,3.0490232960810553,0.5794173165600628,54.882419329459,2.2195489206621613,1.2006094980410857,0.5837072506623661,21.610970964739543,16.4400005340576,15.987222406599253,0.6264876706149901,287.77000331878656,Strong,0.7866975513482924,0.14239798943010398,63
734402,734413,734412,2011-09-22,2011-10-03,2011-10-02,10856,10867,10866,12,12,0,0,0,2.765596470014213,2.320896101645699,0.23070010125696247,27.850753219748384,0.8349031140727003,0.3727581562534395,0.23101868459318992,4.473097875041274,15.9499998092651,15.814999977747592,0.33634061653572084,189.7799997329711,Moderate,0.07378828234134935,0.5979435315696021,63
734549,734591,734586,2012-02-16,2012-03-29,2012-03-24,11003,11045,11040,43,42,0,0,0,2.4584540555831906,1.7623789903931462,0.2883570642385945,75.78229658690529,1.2247097046144537,0.5064560989285456,0.3030162676155882,21.77761225392746,6.21000003814697,5.533023279766704,0.26746474371851936,237.92000102996826,Moderate,0.027539122503891338,0.23078843079884825,63
734605,734654,734643,2012-04-12,2012-05-31,2012-05-20,11059,11108,11097,50,37,13,0,0,4.654539441191099,2.5075789972539875,0.702834171147324,125.37894986269937,3.0794193329349664,1.082261880505471,0.6465040165506489,54.11309402527354,11.5,8.356999959945679,1.5319507120074924,417.84999799728394,Strong,0.08744496357446961,0.259410249032814,63
734664,734690,734675,2012-06-10,2012-07-06,2012-06-21,11118,11144,11129,27,25,0,0,0,3.2731941057350635,2.377142461431507,0.5319752463190812,64.18284645865069,1.4837418094758217,0.5811851109512648,0.5185903254320878,15.69199799568415,13.6199998855591,12.984814749823672,1.2835753373635046,350.58999824523914,Moderate,0.1362532761878791,0.09779711610212917,63
734694,734706,734699,2012-07-10,2012-07-22,2012-07-15,11148,11160,11153,13,10,3,0,0,4.2740865485526385,2.8357454922415695,0.7728936526033482,36.864691399140405,2.432709423188287,0.9826452070667032,0.7814043577359965,12.774387691867142,17.4899997711182,16.130769289456882,0.8095053680267932,209.70000076293948,Strong,0.43295544386114687,0.3143691245334183,63
734716,734743,734730,2012-08-01,2012-08-28,2012-08-15,11170,11197,11184,28,27,0,0,0,3.769261295127258,2.7642256409618495,0.45991466727086944,77.39831794693178,1.8410319912817812,0.8243917370721431,0.47058396505698924,23.082968638020006,18.8199996948242,17.701071398598817,0.5280714651228278,495.62999916076683,Moderate,0.11310305567542002,0.13641868343169528,63
734769,734785,734784,2012-09-23,2012-10-09,2012-10-08,11223,11239,11238,17,17,0,0,0,3.093141736711045,2.5482119707597763,0.18416080721907016,43.319603502916195,1.1977421606740712,0.6170588632688575,0.19760340780390712,10.490000675570577,15.8400001525879,15.796470529892865,0.30005770076712346,268.5399990081787,Moderate,0.06159808925103109,0.5921761040209859,63
734802,734806,734805,2012-10-26,2012-10-30,2012-10-29,11256,11260,11259,5,5,0,0,0,2.17534190725139,1.920513818755044,0.17136369717402652,9.60256909377522,0.505161439218833,0.238541881192112,0.1762175824993858,1.19270940596056,13.3400001525879,13.155999946594239,0.17556761045218372,65.77999973297119,Moderate,0.15257977189012933,0.3637203927727081,63
734815,734871,734853,2012-11-08,2013-01-03,2012-12-16,11269,11325,11307,57,56,0,0,0,2.627485221532078,2.0467188072451563,0.28831345358032445,116.66297201297391,1.0488707419365042,0.48231636710131837,0.2978080464657277,27.492032924775145,10.4899997711182,10.595087720636736,1.1912902345521192,603.920000076294,Moderate,0.02540645664182776,0.05173889819005055,63
734877,734889,734883,2013-01-09,2013-01-21,2013-01-15,11331,11343,11337,13,13,0,0,0,2.3572218281458603,2.084856416694964,0.17603615554582885,27.10313341703453,0.6239036990750213,0.35936236488020323,0.17768747993983838,4.671710743442642,8.02000045776367,7.757692373715913,0.261979344963219,100.85000085830687,Moderate,0.10071696100580489,0.10125160299943427,63
734983,735001,734998,2013-04-25,2013-05-13,2013-05-10,11437,11455,11452,19,18,1,0,0,2.7080400004065304,2.045497263948076,0.461950175497407,38.864448015013444,1.2825801541728374,0.6771985649860175,0.4470994631703339,12.866772734734333,8.72999954223633,7.622105196902626,0.727393093565281,144.8199987411499,Strong,0.11412526081447202,0.3355408764297318,63
