thresh,seas,missing
8.36154842069072,6.627336359693599,False
8.291871006258072,6.555712929397781,False
8.223483910099153,6.484794063328381,False
8.152903261492328,6.414574497757493,False
8.081548407769972,6.3449820470725244,False
8.012838723582606,6.2756490144462775,False
7.9447742031466575,6.206546826311115,False
7.875548399648359,6.137270188956337,False
7.806580648114604,6.067606304504657,False
7.738838700325259,5.998055962621069,False
7.671419337487991,5.9289447515285945,False
7.605741922317013,5.860679902282466,False
7.5363225783071215,5.793485265571978,False
7.465838703032463,5.727516607944641,False
7.396096758688649,5.66277862961781,False
7.327064492625574,5.599461264382652,False
7.259677400896626,5.538229784655741,False
7.191870947807066,5.478423888799261,False
7.123967715232603,5.42007420905557,False
7.058161261773879,5.363489951087399,False
6.996709648255379,5.3081209192205,False
6.935483852509529,5.253706301627405,False
6.872709655761719,5.2002270930027965,False
6.811419330104704,5.147362215965885,False
6.748193522422543,5.095152275142243,False
6.683161264850246,5.043661185427442,False
6.616774168322162,4.992579900803392,False
6.54999997231268,4.941527941521151,False
6.484387074747392,4.890154905404907,False
6.4182580363365895,4.8388570628405345,False
6.353548360640001,4.787958498377218,False
6.2913548161906565,4.737999854101095,False
6.229096754135623,4.688929246819926,False
6.1656128791070755,4.640905334721992,False
6.10548384266515,4.593929621947242,False
6.046645133726058,4.547766000231869,False
5.988645129049977,4.50246860910353,False
5.930322548650925,4.4583329595617,False
5.874322555911155,4.4159357866870526,False
5.820064495455833,4.375401912035642,False
5.765354824066161,4.336083166374641,False
5.711161281216529,4.297538163007781,False
5.6567096679441375,4.259330027407656,False
5.605999998892506,4.221348224326949,False
5.5559354859013705,4.183910822992047,False
5.5065161351234675,4.147302055351716,False
5.457870980231991,4.111224154788163,False
5.412193564445741,4.075570346305349,False
5.366580660112441,4.040525606229114,False
5.321870993029685,4.0060801592811845,False
5.278774229172736,3.972362586426299,False
5.237548429735243,3.939836080679006,False
5.198129067882413,3.908644261848873,False
5.160387145319292,3.8790465476629614,False
5.124193602223549,3.8514565032929866,False
5.0917419941194595,3.825879392314471,False
5.0638710283464,3.8021685869964994,False
5.039354895007225,3.780473722740352,False
5.016451667970227,3.7607812645453436,False
4.979354893776678,3.727850216870488,False
4.963096829383605,3.71406872957862,False
4.948258118475637,3.7018805952240306,False
4.934774246523457,3.691167759674816,False
4.924451672646307,3.6818377348442475,False
4.916000066264983,3.673622831481499,False
4.908774266704436,3.666680956144101,False
4.9023226599539464,3.6611196357546483,False
4.89780652292313,3.6570148158901676,False
4.89425813151944,3.6540882801487893,False
4.891806508648779,3.6524362762858704,False
4.891806508648779,3.6522046798547865,False
4.89270972744111,3.6537190793743615,False
4.894580691860567,3.6570185753078115,False
4.896903264138006,3.6616294480677034,False
4.899548419829337,3.6668922495452954,False
4.903354869350309,3.672997971541613,False
4.910000031994234,3.6804083030253785,False
4.918064548123266,3.6893939408908905,False
4.928774227634551,3.6996608781710596,False
4.941935511558285,3.711215130493456,False
4.956645174949398,3.7238566826067343,False
4.971032265693909,3.737383263596413,False
4.985290333532516,3.7515459825637794,False
5.002451616717922,3.7662809251779823,False
5.0225161275556,3.782003160024623,False
5.044838702294134,3.7990713607719027,False
5.067032260279502,3.817241900069739,False
5.087677429568384,3.836085422329099,False
5.108322598857265,3.85567937695323,False
5.129354858398438,3.8764456001535654,False
5.153225824909825,3.898599897531541,False
5.179161299428632,3.9225783921541217,False
5.2064516129032254,3.9482848363242136,False
5.236322575230751,3.975854578493448,False
5.266064511576005,4.005108657748424,False
5.29625805577924,4.0361929498576465,False
5.3288386929419715,4.068982633309881,False
5.362580619319791,4.103737878018693,False
5.397032242436562,4.140166180780466,False
5.4341935342358,4.177971278920157,False
5.47380644275296,4.216949397464005,False
5.515999990893948,4.2572336292856665,False
5.559935477472122,4.298517936234617,False
5.6047741828426245,4.340988046576702,False
5.652516118941769,4.38536130759006,False
5.702645157229516,4.431918191505523,False
5.755161288476759,4.480552675235682,False
5.809612904825519,4.531155727973458,False
5.864516125955889,4.5834303349110845,False
5.9203870957897555,4.637671254978062,False
5.978967740458827,4.694046169875735,False
6.040774200808617,4.752210692993115,False
6.105870975986603,4.812130235215668,False
6.17122581235824,4.874080757443479,False
6.238903227160054,4.937722384212553,False
6.305935484363187,5.002482891956731,False
6.37238709849696,5.068238211275088,False
6.442064506776871,5.13494773778407,False
6.517741917025657,5.203163392580185,False
6.598838698479436,5.273217531781204,False
6.681612897688343,5.34476652017383,False
6.762516123248684,5.417302048917157,False
6.842903217192617,5.490549661439293,False
6.926774203392767,5.564514621109592,False
7.009354862090079,5.639100679948604,False
7.092193566599199,5.714563496660151,False
7.177483906284454,5.790521087480833,False
7.264193577920236,5.8670727080425396,False
7.353871004043086,5.944118350652368,False
7.4474193880634925,6.0219595418297995,False
7.540516151920442,6.100568459566235,False
7.6397419560340145,6.180163165897128,False
7.738774219635994,6.260578234829089,False
7.837677435721119,6.342127975659922,False
7.93877422578873,6.4245529703667605,False
8.03690326752201,6.50731784039417,False
8.133290367741738,6.590274453960923,False
8.228838745240243,6.673979243978323,False
8.32303228070659,6.758963077478331,False
8.420580667065034,6.845460558808901,False
8.521741968585598,6.932872394662448,False
8.623806473516648,7.021014360711398,False
8.72277421028383,7.110021053467381,False
8.819548397679483,7.2002150535189084,False
8.919612918361539,7.291264004631681,False
9.01767744864187,7.383242349103299,False
9.1160645515688,7.476746372373778,False
9.215032297565092,7.572258065433302,False
9.312193596747614,7.6695886923053305,False
9.40851618243802,7.768202874380643,False
9.505225858380719,7.868099107393797,False
9.6058710159794,7.969257089480196,False
9.714645207312802,8.07205429253914,False
9.82767746833063,8.176644863513314,False
9.94316133683728,8.282870143775213,False
10.065290358758743,8.390934660359607,False
10.193870993583436,8.501023388955906,False
10.322000005168302,8.613317546203392,False
10.45174196304814,8.727777279788492,False
10.580129045055763,8.844491318425106,False
10.709548402601676,8.962946089454785,False
10.840709710890252,9.082736299399889,False
10.967677442489135,9.203740134347836,False
11.092193560446463,9.326107229664053,False
11.218516140599405,9.449793972765756,False
11.347161299182524,9.575089107752651,False
11.476903220145935,9.702206936229647,False
11.609096754750897,9.830752691708792,False
11.741290313966813,9.960058654911654,False
11.875419364436981,10.089474401022942,False
12.007483888441518,10.218262280133517,False
12.136258076083278,10.346805779824036,False
12.26258068084717,10.475912479558687,False
12.389612942357221,10.605710208841767,False
12.517741984705774,10.735568845170777,False
12.646516172347532,10.865232730469353,False
12.780258092572613,10.994982335879238,False
12.914709700307538,11.124437933981405,False
13.053161313456874,11.253402517705817,False
13.192129036688035,11.381870071568322,False
13.3316774183704,11.51002105998584,False
13.470580630148612,11.63823069937382,False
13.608451584846744,11.766126029141297,False
13.7409677320911,11.892575385920292,False
13.868903215469848,12.01700428975544,False
13.990516102698535,12.139129260974109,False
14.107935468612173,12.258974361046786,False
14.220451613395438,12.376348598853692,False
14.333032251173442,12.491018873917914,False
14.44187096011253,12.602728024363762,False
14.552193543218788,12.711609142473277,False
14.657419352377607,12.817718623858555,False
14.759999982772326,12.921016615488913,False
14.859225820725957,13.021540714606404,False
14.959548390296186,13.119842841953465,False
15.057290347929912,13.215913222565561,False
15.150903240326901,13.309812763058357,False
15.246838729612277,13.401504619218898,False
15.343096813078839,13.490996310151388,False
15.440967793618467,13.578585602321231,False
15.5366451817174,13.664531161331738,False
15.632193546910429,13.749308963388112,False
15.729290328487265,13.832928783383188,False
15.822709692678139,13.914434911218907,False
15.91374197313862,13.993742377303203,False
16.00406456608926,14.07079929778052,False
16.089548455515214,14.146481678767152,False
16.169871016471614,14.220818093848663,False
16.25154840407833,14.293472427507568,False
16.326709661176128,14.363548372031888,False
16.39838706601051,14.430989531988807,False
16.464516079810362,14.495507164354278,False
16.525483802057085,14.555958325920788,False
16.58122572129773,14.612178342612541,False
16.63380633938698,14.66508307192718,False
16.68554829628238,14.71519736639852,False
16.736193478492012,14.762380613959076,False
16.7793547353437,14.805801172957077,False
16.81787085994599,14.845525213574744,False
16.851354758970217,14.882014424758383,False
16.881612826931878,14.915750797336843,False
16.904580590032783,14.946441076350254,False
16.92522574393982,14.973856672755543,False
16.942838681128737,14.998135943261834,False
16.957806421095345,15.019260841344964,False
16.96935482640422,15.036799755766214,False
16.97896770354242,15.050738399696943,False
16.985354823450905,15.061117377260755,False
16.987225784793996,15.068050982226236,False
16.986387055920034,15.071642230637892,False
16.983354802285483,15.071697874547523,False
16.979161280970434,15.068382588246056,False
16.971290317658465,15.061952782193561,False
16.959290289109763,15.052675393911509,False
16.94929025711553,15.041085049320642,False
16.9405805649296,15.02744191828971,False
16.92935474764917,15.011742242270552,False
16.917483754311846,14.99322205319854,False
16.90341923621394,14.971314391656716,False
16.883612823486335,14.946234311454413,False
16.860193486367503,14.918548771650041,False
16.835612893873652,14.888157765160235,False
16.80870966757498,14.855102648564017,False
16.779290316181804,14.819796234837634,False
16.746000031502017,14.782936320572707,False
16.71070970104587,14.744628929268984,False
16.666000009352167,14.7043642477484,False
16.617354842155216,14.663196489930879,False
16.571419365175313,14.621892631264574,False
16.525548393495626,14.580463951122887,False
16.480903219407605,14.538383342402438,False
16.433741907919607,14.494887589780857,False
16.38948382716025,14.450237615080342,False
16.344838653072234,14.40496578893497,False
16.301290222906296,14.359462366076157,False
16.257419235475602,14.313490486761724,False
16.21264503232894,14.266608012332995,False
16.167548271917525,14.21883223800607,False
16.121741805538054,14.169560110885419,False
16.076128904281127,14.118896902087071,False
16.030516003024193,14.067419346207663,False
15.981548241646058,14.015216172463065,False
