time_start,time_end,time_peak,date_start,date_end,date_peak,index_start,index_end,index_peak,duration,duration_moderate,duration_strong,duration_severe,duration_extreme,intensity_max,intensity_mean,intensity_var,intensity_cumulative,intensity_max_relThresh,intensity_mean_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_max_abs,intensity_mean_abs,intensity_var_abs,intensity_cumulative_abs,category,rate_onset,rate_decline,n_events
723575,723604,723582,1982-01-30,1982-02-28,1982-02-06,29,58,36,30,28,0,0,0,1.6875314481169301,1.226398407343257,0.33048994190811476,36.79195222029771,0.6974194065217052,0.2883773929329332,0.30705602568776297,8.651321787987996,6.19000005722046,5.4593332926432305,0.561829910310157,163.7799987792969,Moderate,0.0909383077682648,0.03585987505888204,122
723613,723618,723616,1982-03-09,1982-03-14,1982-03-12,67,72,70,6,4,0,2,0,3.087795091263373,1.5205863345059871,0.967140528140995,9.123518007035923,2.281064330377882,0.714118274052939,0.9665331172627021,4.284709644317634,6.73999977111816,5.174999952316285,0.9660702193593347,31.049999713897712,Severe,0.6548178266799216,0.9588476793274241,122
723629,723642,723634,1982-03-25,1982-04-07,1982-03-30,83,96,88,14,14,0,0,0,1.4143206039732803,1.1279707104788805,0.14699483632230384,15.791589946704327,0.5322580491342812,0.2457419094402114,0.15340114319184836,3.4403867321629598,5.26999998092651,5.02714283125741,0.12803059289715635,70.37999963760375,Moderate,0.08604254730189931,0.07949186022986436,122
723653,723667,723655,1982-04-18,1982-05-02,1982-04-20,107,121,109,15,15,0,0,0,1.3223287831689081,1.0582288998384661,0.11754211598849375,15.873433497576993,0.445870996290636,0.19236124223278228,0.11470397214847207,2.885418633491734,5.96000003814697,6.009333292643226,0.2677428639871441,90.1399993896484,Moderate,0.14527322824166705,0.03250036114955787,122
723686,723700,723697,1982-05-21,1982-06-04,1982-06-01,140,154,151,15,9,6,0,0,2.6307432919895035,1.7317099191199694,0.532612944875153,25.975648786799542,1.5910326219373871,0.7128773648251767,0.5238904009793178,10.69316047237765,10.6000003814697,9.31799996693929,0.7935675950115921,139.76999950408936,Strong,0.14086173145881115,0.4978986607391952,122
723905,723924,723908,1982-12-26,1983-01-14,1982-12-29,359,378,362,20,20,0,0,0,2.1830265580994217,1.439961678898155,0.23209645744571625,28.7992335779631,1.0033545709425375,0.2677322638419361,0.23186583131004948,5.354645276838722,9.02999973297119,7.826999998092651,0.5416650178460038,156.53999996185303,Moderate,0.26399410145779506,0.05746509758323922,122
723934,723966,723937,1983-01-24,1983-02-25,1983-01-27,388,420,391,33,26,7,0,0,2.2274198893882584,1.6789374850884429,0.3253009995336364,55.40493700791861,1.182193322335518,0.7129892067708798,0.27620854013751295,23.528643823439037,7.21999979019165,6.095757527784868,0.6927504545345254,201.15999841690063,Strong,0.2960612955245298,0.0429303058337252,122
723972,723976,723975,1983-03-03,1983-03-07,1983-03-06,426,430,429,5,5,0,0,0,1.4163773211063906,1.354962131337785,0.05897693142953151,6.774810656688926,0.5930001889505698,0.527038847707934,0.057413816200028014,2.63519423853967,5.09000015258789,5.038000106811524,0.06144927499358335,25.19000053405762,Moderate,0.16267197621443152,0.3601851034684935,122
723999,724013,724009,1983-03-30,1983-04-13,1983-04-09,453,467,463,15,15,0,0,0,1.6398340290278837,1.168513146425803,0.21109983351089429,17.527697196387045,0.7443227614125885,0.27658066021499,0.21101343702328632,4.14870990322485,5.78000020980835,5.220666694641115,0.2530999336681409,78.31000041961673,Moderate,0.06483015241242172,0.21546378019928852,122
724077,724084,724080,1983-06-16,1983-06-23,1983-06-19,531,538,534,8,5,3,0,0,3.2105257897119586,2.2951020900446073,0.5847008077708846,18.36081672035686,2.0193549925281484,1.1089273960359594,0.5812489389220165,8.871419168287675,13.3000001907349,12.448750019073486,0.625888080102986,99.59000015258789,Strong,0.7111924794824908,0.4369256344144847,122
