precipitation,temperature,PET,spi_p3,spi_p6,spi_p12,spi_p24,spei_p3,spei_p6,spei_p12,spei_p24,pdsi,phdi,pmdi,scpdsi,zindex
11.5,5.1103516,3.4417043,-0.99539936,-1.273744,-0.7667407,-1.214809,-0.50211096,-0.877217,-0.5654778,-1.0386332,-1.4000436,-0.8336157,-0.8336157,-0.8336157,-1.2738243
7.040039,16.589844,50.621067,-2.3370223,-1.3572127,-0.95961565,-1.5887051,-1.5501803,-0.93015015,-0.7011921,-1.2499568,-1.9061986,-1.3932112,-1.3932112,-1.3932112,-1.9363737
68.13965,18.580078,67.35572,-1.3974379,-1.0209833,-1.3537197,-1.564354,-0.9516928,-0.61329395,-0.9595894,-1.2141198,0.25649077,-0.92982185,-0.3132455,0.31988865,0.9596659
87.76953,25.480469,144.82881,-0.610433,-1.1804597,-1.0270865,-1.4480224,-0.84342706,-0.97453433,-0.8600654,-1.212834,-0.3487233,-1.1801453,-1.0564312,-0.34609506,-1.0382853
153.25,26.929688,162.21077,0.50415856,-0.49810418,-0.90390104,-1.0017028,0.27587909,-0.46711224,-0.7649259,-0.88338476,0.8563248,1.067986,1.067986,1.067986,3.2039583
53.370117,28.780273,190.48595,0.57300967,-0.25476396,-0.81899863,-0.79416585,0.21164525,-0.31022158,-0.67569524,-0.72513115,0.7922751,0.9881049,0.94521654,0.030121384,0.09036415
2.4296875,30.450195,204.071,0.33604595,-0.3054968,-1.0393641,-1.0956547,-0.04218695,-0.60069114,-0.9477132,-0.98057437,-0.40484366,-0.40179247,-0.40179247,-0.40179247,-1.2053775
46.429688,26.230469,133.64774,-1.0404425,-0.19520423,-0.99850744,-1.3037713,-1.2428699,-0.5540257,-0.9518207,-1.1538658,-0.81513906,-0.80899554,-0.80899554,-0.80899554,-1.3457632
118.66992,20.990234,79.22534,-0.43016618,0.03985403,-0.5664442,-1.0932754,-0.8300971,-0.484973,-0.72053605,-1.029778,0.930738,1.1607922,1.1607922,1.1607922,3.4823766
65.509766,14.549805,32.671505,0.09189624,0.1802037,-0.59059966,-0.92232823,-0.18505988,-0.2422254,-0.77052706,-0.9263742,0.42024344,0.62972707,-0.258123,0.62972707,-1.2345107
113.259766,8.969727,11.619888,0.8843171,0.19987762,-0.2605836,-0.63372123,0.7986533,-0.1895842,-0.5511145,-0.7474828,0.83582926,1.1371571,1.1371571,1.1371571,1.7168756
87.299805,10.4296875,16.364971,1.1034329,0.450739,0.09074168,-0.4595457,1.1556705,0.08673517,-0.3251215,-0.6306155,1.0592321,1.4060218,1.4060218,1.4060218,1.1579759
10.099609,10.349609,15.477704,0.78370774,0.44521952,0.08571151,-0.5212311,0.7395204,0.24780768,-0.32989654,-0.64463204,-0.54916066,0.7161797,-0.26968583,0.7161797,-1.6350654
112.57031,14.490234,37.942856,0.70452183,0.9469183,0.5510048,-0.2649968,0.66354036,0.87084645,0.18091588,-0.41261053,0.82204944,1.6676519,1.6676519,1.6676519,3.075716
231.04004,18.580078,67.35572,1.7922126,1.8338604,1.2832739,0.11643545,1.8761939,1.9237287,0.885482,-0.07557454,2.6360102,3.8638082,3.8638082,3.8638082,7.103773
121.34961,22.740234,113.65354,1.9128197,1.8859626,1.3327997,0.35415217,2.043415,1.845496,1.1490512,0.1781627,-0.09117206,3.375351,3.211182,-0.090484925,-0.27145478
33.51953,28.240234,179.49246,1.1046225,1.0875932,0.83424336,-0.007239843,0.91684425,0.95294255,0.51530296,-0.17838554,-1.0525305,2.064257,0.7197561,-1.0445979,-2.8902988
87.19043,27.870117,177.8811,0.09638568,1.1180108,0.91569024,0.12326471,0.013801783,1.0066499,0.6459149,-0.08068078,-0.63917595,2.2319567,1.3153038,0.3803182,1.1409546
91.66016,27.339844,162.21379,0.36831015,1.7026285,1.247414,0.28577086,0.30078128,1.5668398,1.1535648,0.08758962,-0.22914411,2.4313383,1.9534346,0.7704186,1.2878196
94.19043,26.799805,139.9038,1.0943658,1.4280391,1.428493,0.473551,1.0088228,1.2552981,1.3914177,0.22121163,-0.10572738,2.305397,1.9042051,0.815552,0.37345958
54.780273,21.129883,80.352516,0.2969055,0.17654382,1.2348566,0.53188264,0.13566142,-0.02197424,1.1758919,0.24314013,-0.22306272,1.9406823,1.356835,0.6042913,-0.38177657
42.820312,14.889648,34.31879,-0.28178364,-0.05282092,1.1832199,0.46986562,-0.61841744,-0.28437468,1.0805367,0.13039231,-0.043607082,1.93595,1.5007236,0.7372073,0.5854741
29.55957,10.299805,15.600425,-0.5834307,0.20343572,0.8293119,0.3929065,-0.75686264,0.06867039,0.66902584,0.032836247,-0.3898154,1.3884904,0.54061514,-0.3480567,-1.0441701
11.769531,11.370117,19.669552,-0.702135,-0.24480869,0.55764675,0.43133345,-0.9485066,-0.41364542,0.33949468,0.0192163,-0.8591594,0.73982084,-0.6265415,-0.817862,-1.5169653
32.08008,9.490234,12.867689,-1.0212619,-0.7164623,0.6465868,0.4965182,-0.948653,-0.887289,0.47600418,0.08174388,-0.582277,0.89857316,-0.1780931,-0.49866828,0.70486164
36.030273,14.540039,38.221237,-1.0442594,-1.0679265,0.31895044,0.5910177,-0.88097566,-1.0436294,0.18728594,0.22507975,-0.76605284,0.56410676,-0.67724603,-0.6892188,-0.72574
30.45996,18.080078,63.55274,-1.161667,-1.3793305,-0.7008512,0.4786374,-0.7181806,-1.0739886,-0.6713489,0.13868558,-1.0495087,-0.97785753,-0.97785753,-0.97785753,-1.0788847
79.71973,23.530273,122.23125,-0.8247571,-1.372856,-0.85774255,0.4543611,-0.62309974,-1.0571212,-0.83824104,0.19537243,-1.0704855,-1.0052416,-1.0052416,-1.0052416,-0.38431022
15.360352,27.95996,175.71854,-1.5317116,-1.6999096,-0.89525145,-0.001825045,-1.169526,-1.3468733,-0.84197474,-0.23568183,-1.982045,-1.9158201,-1.9158201,-1.9158201,-3.0423553
37.54004,29.719727,203.97777,-1.1928864,-1.5711484,-1.1015843,-0.049637906,-1.1437085,-1.2439952,-1.0157809,-0.32811558,-1.9002677,-1.8399416,-1.8399416,-1.8399416,-0.36435288
18.730469,30.129883,199.52475,-1.5178328,-1.794376,-1.5487852,0.005007059,-1.5657736,-1.5999231,-1.405848,-0.2814199,-1.978964,-1.9227833,-1.9227833,-1.9227833,-0.81706685
78.57031,25.389648,124.68573,-0.5058044,-1.5481586,-1.7068119,0.087850906,-0.9031381,-1.4016465,-1.4686215,-0.21509872,-1.7546648,-1.699212,-1.5928544,-1.699212,0.07657383
18.410156,20.669922,76.67184,-1.0920858,-1.6963539,-1.9980993,-0.24923648,-1.1962678,-1.5873303,-1.6188347,-0.48649696,-2.2516615,-2.1968126,-2.1968126,-2.1968126,-2.0178583
33.450195,14.80957,33.926765,-0.99632794,-1.7517556,-2.1394527,-0.37738293,-1.0159009,-1.6396797,-1.7284592,-0.5923633,-1.9765261,-1.9166452,-1.7774237,-1.9166452,0.16168717
13.830078,8.599609,10.62217,-1.4855298,-1.4533982,-2.1661525,-0.698238,-1.3172908,-1.4338235,-1.7102213,-0.82144845,-1.7521878,-1.6933444,-1.4531718,-1.6933444,0.07765931
12.05957,8.379883,10.267134,-1.1336492,-1.5344163,-2.2440572,-1.0047215,-1.0770437,-1.4168357,-1.6891148,-1.0121313,-1.8843644,-1.8292253,-1.8292253,-1.8292253,-0.9308864
15.389648,10.05957,14.568232,-1.7909048,-1.5718218,-2.3469636,-0.9709735,-1.2467561,-1.2818235,-1.8002819,-0.9893671,-2.1760018,-2.1228812,-2.1228812,-2.1228812,-1.4461983
54.15039,15.780273,45.503086,-1.0111201,-1.6973828,-2.276882,-1.2276335,-0.8494673,-1.4183055,-1.8477573,-1.1611327,-2.069652,-2.0211153,-2.0211153,-2.0211153,-0.35067263
73.70996,21.759766,94.30597,-0.42177436,-1.1540481,-2.0793033,-1.8940845,-0.65754867,-1.1126114,-1.7743157,-1.6227965,-2.1016858,-2.0563002,-2.0563002,-2.0563002,-0.73007935
75.40039,25.259766,142.1693,-0.15002654,-1.1100304,-1.9431341,-2.1057286,-0.6321763,-1.2282546,-1.782188,-1.8269463,-2.2637963,-2.220232,-2.220232,-2.220232,-1.1271924
32.33008,28.509766,183.16191,-0.7687059,-1.1338739,-1.717289,-2.0106144,-1.1913189,-1.3475757,-1.7054387,-1.7671292,-2.8842645,-2.8387537,-2.8387537,-2.8387537,-2.5416167
171.62012,28.15039,181.71387,0.44220334,0.044913106,-0.88519865,-1.5760598,0.023651145,-0.31584838,-1.0402234,-1.4669781,0.93572766,-1.3793468,0.13502912,1.1670153,3.501046
0.34960938,29.54004,191.29504,0.2892935,-0.02525078,-1.0064752,-1.9499753,-0.07819069,-0.48855346,-1.1012155,-1.7145721,0.44550285,-1.6281507,-0.6041586,0.6559361,-1.1726297
100.05957,24.740234,117.98934,1.084895,0.119460054,-0.9365892,-2.0160959,0.88705415,-0.34912664,-1.0617473,-1.7087508,0.7413769,-1.0342159,0.47443813,1.0146099,1.2787057
61.5,19.360352,66.69233,-0.49440792,-0.10023303,-0.73552877,-1.9692326,-0.4927749,-0.42444608,-0.92079437,-1.6695033,0.81524277,-0.7403316,0.90096074,1.0974652,0.5620802
216.83984,15.719727,38.52362,1.2188852,1.0098867,0.13603076,-1.3156759,1.2228221,0.7279431,-0.2405041,-1.3400882,3.0228903,3.8424723,3.8424723,3.8424723,8.574139
65.90039,9.5703125,13.340381,1.1823983,1.4477992,0.3590579,-1.1210562,1.1864008,1.3655968,-0.054826435,-1.2258003,2.716757,3.4532135,3.4022546,3.4532135,0.0195474
64.95996,8.25,9.931071,1.6364745,0.8701553,0.6068479,-0.95986235,1.9038471,0.74065137,0.1486969,-1.1164356,2.5735025,3.2678607,3.2678607,3.2678607,0.5109845
184.46973,7.5302734,7.8606777,1.663857,1.6600521,1.2699572,-0.38876182,1.7812377,1.7792612,0.9380883,-0.71181977,3.6477735,4.6016636,4.6016636,4.6016636,5.011177
51.55957,13.129883,30.754929,1.5162157,1.5996361,1.2812546,-0.34836915,1.6358474,1.7117844,0.9865902,-0.6403961,-0.018914308,4.1089206,4.0306697,-0.018771756,-0.056315273
24.080078,18.34961,65.58821,0.96030587,1.771257,1.1483009,-0.36843863,1.1559743,1.9451249,0.95294434,-0.6474364,-0.6281942,3.07908,2.2538168,-0.6234597,-1.8198644
38.509766,21.339844,99.25995,-1.2885311,0.42298114,0.93653715,-0.51962316,-0.6591688,0.70987153,0.94161266,-0.68711305,-1.0233865,2.3055046,0.93601835,-1.0156735,-1.3692906
90.0,23.719727,123.77829,-1.1379988,0.27847186,1.1095703,-0.22967242,-0.27808022,0.7125892,1.3882263,-0.3163589,0.30338556,2.4464123,1.4851284,0.3783746,1.1351237
137.7998,27.160156,168.36607,0.32495934,0.71669215,0.93909097,0.10295599,0.78541476,1.1403071,1.13494,0.027586047,0.97867763,3.075611,2.9900517,1.2205813,2.643538
33.61035,27.719727,167.05348,0.8103654,-0.2766466,1.0764992,0.15257707,1.162759,0.43081084,1.4349638,0.15050718,-0.09675995,2.6627924,2.4044366,-0.096030705,-0.2880921
27.780273,24.179688,112.366776,0.33204585,-0.6804234,0.8204544,-0.029875048,0.58586586,0.0822946,1.2192234,0.014779057,-0.60963833,1.8696208,0.94497514,-0.60504365,-1.5567124
46.36035,18.530273,60.74772,-1.211335,-0.5889609,0.779677,0.052824505,-0.66509265,0.054305837,1.2564433,0.12680304,-0.5709167,1.6531601,0.6800507,-0.5666139,-0.07166919
1.0498047,13.410156,27.460009,-1.8857383,-0.537501,-0.14879176,-0.062614076,-1.2160124,-0.014623208,0.37093645,0.04643625,-0.80805725,1.1891701,-0.11178816,-0.8019672,-0.8811435
21.759766,10.389648,15.89177,-1.4209008,-0.7983665,-0.3455692,-0.028663557,-1.0896381,-0.3847799,0.15794075,0.04999681,-0.67437214,1.1296121,-0.07206348,-0.65643805,0.18877944
4.7695312,7.919922,9.103665,-1.9500691,-2.00569,-0.6614275,-0.036880452,-1.467557,-1.2562618,-0.101439565,0.054702606,-1.0886291,-1.0688967,-1.0688967,-1.0688967,-1.4402152
69.20996,13.150391,26.737314,-0.6214934,-1.5802172,-1.2972606,0.14715007,-0.6822969,-1.1671133,-0.587511,0.21067832,-0.60850096,0.45895928,0.45895928,0.45895928,1.3768778
10.660156,18.429688,63.503277,-0.9537254,-1.620705,-1.5964636,-0.0057238033,-1.2549154,-1.4597113,-0.8682476,0.04221745,-1.268456,-0.71718436,-0.71718436,-0.71718436,-2.151553
77.37012,19.0,70.803925,-0.22346674,-1.3547375,-1.3396055,0.012270683,-0.56863546,-1.2813016,-0.72705895,0.13981342,0.34034446,0.4244688,0.4244688,0.4244688,1.2734064
154.11035,22.129883,107.415085,0.23868814,-0.26431438,-0.587069,0.2806774,0.1083285,-0.3153634,-0.27952197,0.4941474,0.7126541,0.8888037,0.8888037,0.8888037,1.5241657
98.73047,25.84961,148.69872,0.6777491,0.029689621,-0.50134075,0.48659804,0.76653427,0.03639732,-0.3061502,0.7752935,0.72545886,0.9047735,0.9047735,0.9047735,0.3225496
41.240234,27.410156,171.49022,0.5703704,0.24079898,-0.94127303,0.068500556,0.72507244,0.26445186,-0.5945268,0.37029985,0.6209416,0.7820114,0.7820114,0.7820114,-0.088711366
61.990234,27.509766,164.02191,0.26600757,0.24614859,-0.8208148,0.26318216,0.50530183,0.4161263,-0.53811705,0.6269008,0.6771806,0.8513695,0.8513695,0.8513695,0.4497159
104.450195,25.79004,128.57805,0.42825603,0.696461,-0.47662276,0.26414454,0.50623345,0.84758365,-0.36027098,0.6151905,0.9230464,1.1573058,1.1573058,1.1573058,1.1808821
104.46973,20.299805,73.58316,0.5545185,0.6827042,-0.2127051,0.38618124,0.50592875,0.80772996,-0.21654244,0.7207835,1.5960473,1.996026,1.996026,1.996026,2.8737683
6.1904297,13.69043,28.641975,-0.051801994,0.033453126,-0.20224139,-0.30926213,-0.1917771,0.13183503,-0.17616092,0.09417404,-1.1157836,0.6830612,-0.9227563,-1.1073742,-3.3221226
35.759766,9.44043,12.954256,-0.36695582,-0.117291816,-0.12513264,-0.39217484,-0.41969344,-0.023937166,-0.11941386,0.0031132349,0.204775,0.86809593,-0.33569115,-0.7379246,0.76617026
25.469727,7.0996094,7.211867,-0.9808921,-0.15040997,-0.025405701,-0.5384129,-0.8972684,-0.10623067,-0.049797595,-0.08586956,-0.25003886,-0.91007274,-0.91007274,-0.91007274,-0.74446315
46.0,4.4902344,2.6126413,-0.44086683,-0.29382366,-0.1320828,-1.0443187,-0.16191536,-0.23760028,0.0014674672,-0.43667403,-0.28560787,-0.8771961,-0.8771961,-0.8771961,-0.18258253
113.51953,16.320312,48.884983,0.442619,-0.084158905,0.3337692,-0.83283484,0.5264289,-0.034009777,0.5127199,-0.2975454,0.46955588,0.5856179,0.5856179,0.5856179,1.7568537
202.87988,18.370117,65.74448,1.8619425,0.7289203,0.91764736,-0.17685604,1.985346,0.80525887,1.1203506,0.24467228,1.989744,2.4815571,2.4815571,2.4815571,5.8687735
57.38965,24.230469,130.11084,1.309033,0.7675122,0.46588746,-0.11029768,1.1779953,0.7732634,0.5346891,0.22151631,-1.1056105,1.1286788,-0.3509589,-1.0972778,-3.2918334
101.11035,26.84961,161.18486,0.92193097,0.8220788,0.46149936,-0.060013298,0.77372944,0.7830575,0.48260352,0.13951306,-0.8031749,1.2475892,0.09013137,-0.74909395,0.70549273
42.19043,27.230469,169.29604,-0.3318811,0.9329259,0.4454416,-0.366372,-0.22882117,0.91219866,0.46846336,-0.15570015,-0.7386951,1.1009778,-0.065954976,-0.69004697,-0.054329067
20.379883,28.820312,181.50195,-0.14373776,0.87822044,0.28640684,-0.40882203,-0.047242347,0.7622382,0.22289751,-0.23459363,-0.88748956,0.7643919,-0.6152295,-0.8421573,-0.6695556
65.23047,26.429688,135.81955,-0.6129495,0.3715417,0.10989859,-0.31660295,-0.5452581,0.2596626,0.0353362,-0.23936696,-1.0286226,-0.98620695,-0.98620695,-0.98620695,-0.6923756
87.59961,19.839844,70.26065,-0.3667137,-0.5901941,0.03432615,-0.18266968,-0.49558938,-0.6063213,-0.03215894,-0.16690575,0.53311914,-0.21973531,0.6648924,-0.21973531,1.9946771
64.23047,15.5703125,37.74771,-0.033346362,-0.21417147,0.29063407,0.015592853,-0.29048103,-0.31340766,0.1991128,-0.027151199,-0.4827794,-0.6762434,-0.6762434,-0.6762434,-1.4374225
69.09961,6.1396484,5.181434,0.3229605,-0.15643758,0.42496723,0.17076895,0.26476538,-0.18355548,0.3490314,0.13816814,-0.33026657,-0.4783976,-0.4783976,-0.4783976,0.38457817
18.469727,8.900391,11.673635,0.1377469,-0.24318792,0.4185167,0.24403112,0.032487668,-0.351439,0.30138,0.20178054,-0.6610539,-0.791178,-0.791178,-0.791178,-1.086166
31.269531,9.160156,11.932915,-0.27143848,-0.20115331,0.35332865,0.12078041,-0.094760746,-0.27015835,0.2363582,0.15770729,-0.8891317,-1.003621,-1.003621,-1.003621,-0.8818029
42.13965,12.049805,25.614677,-0.82266545,-0.21300614,0.024753382,0.22075671,-0.41864005,-0.07812673,0.071028456,0.38840652,-0.870402,-0.97254974,-0.97254974,-0.97254974,-0.21690522
59.660156,19.269531,72.792435,-0.57454544,-0.35733277,-0.7385412,0.16805327,-0.25494087,-0.18322031,-0.5987456,0.3413281,-1.01801,-1.1078484,-1.1078484,-1.1078484,-0.70641375
40.5,23.200195,118.60721,-0.8772466,-0.94513386,-0.7594539,-0.22548148,-0.592866,-0.52675366,-0.5983422,-0.017507255,-1.5324144,-1.6083323,-1.6083323,-1.6083323,-1.8437771
67.41016,27.839844,174.11415,-0.9407239,-1.1664569,-0.88172966,-0.31465933,-0.8123351,-0.84323573,-0.72819084,-0.17353164,-1.7116051,-1.7771633,-1.7771633,-1.7771633,-1.0034676
75.61035,27.389648,171.41142,-0.527286,-0.7672494,-0.6679525,-0.18579665,-0.39494345,-0.43001285,-0.5251234,-0.10434653,-1.3050625,-1.3069571,-0.8157208,-1.3069571,0.86147493
58.530273,27.480469,163.99655,0.2619056,-0.54042155,-0.50272137,-0.1947479,0.2945249,-0.18291609,-0.38538212,-0.12009055,-1.0760782,-1.054404,-0.33895406,-1.054404,0.35380945
71.59961,25.55957,126.47027,0.4064999,-0.499167,-0.50363064,-0.335701,0.5090019,-0.33064142,-0.36368862,-0.24188745,-1.0460222,-1.0259717,-0.38535878,-1.0259717,-0.24051376
24.700195,17.009766,50.61876,-0.5775431,-0.87334806,-0.8439932,-0.61399287,-0.24200797,-0.5650293,-0.55505943,-0.40619668,-1.1916834,-1.1717883,-0.8138828,-1.1717883,-0.7544751
38.219727,13.910156,29.687342,-0.94217956,-0.54155546,-1.0246184,-0.52737075,-0.7065102,-0.3429265,-0.6156883,-0.34017932,-0.92247957,-0.8684325,-0.22327165,-0.8684325,0.5479849
64.28027,12.349609,22.965155,-0.58295786,-0.27394533,-1.0081717,-0.40366104,-0.48971295,-0.067220196,-0.69544524,-0.2847517,-0.9173779,-0.86822,-0.30755186,-0.86822,-0.26770803
14.790039,13.8203125,29.80975,-0.2485813,-0.63938713,-1.062869,-0.446674,-0.6957118,-0.5641168,-0.8104459,-0.3729078,-1.3957014,-1.3472897,-1.3472897,-1.3472897,-1.7054889
14.200195,12.240234,22.12815,-0.6622428,-1.0284483,-1.1493905,-0.5523598,-1.0517296,-0.9909143,-0.88132113,-0.48851946,-1.3339529,-1.2899095,-1.2899095,-1.2899095,-0.2441719
31.05957,20.070312,75.95331,-1.4692045,-1.2601998,-1.2540892,-0.879887,-2.3194792,-1.4155627,-1.1287848,-0.77454835,-1.5445814,-1.5024515,-1.5024515,-1.5024515,-1.0362082
61.530273,18.580078,67.35572,-1.0101706,-0.9271233,-1.3170282,-1.4455212,-1.2621288,-1.2439789,-1.1373422,-1.1410961,0.17586654,-1.1283628,-0.7001635,0.2193362,0.6580086
180.96973,20.240234,88.67985,0.52340436,-0.03490883,-0.44133875,-0.95185095,0.4664884,-0.20601752,-0.4444399,-0.6891974,1.7066513,2.1284912,2.1284912,2.1284912,5.79524
46.75,26.799805,160.54854,0.33267,-0.42955044,-0.50607616,-1.1074643,0.5521469,-0.45719558,-0.4302106,-0.80341107,-0.6685228,1.2457724,0.27914593,-0.66348433,-1.9904529
76.42969,27.700195,175.5785,0.6555628,-0.037158,-0.47210315,-0.9314274,0.8170341,0.029785428,-0.36829227,-0.70990545,-0.37150845,1.4020087,0.78573614,-0.31059456,0.85365254
7.7001953,29.179688,186.35773,-0.5502391,-0.04917383,-0.7341458,-0.9770858,-0.43114412,0.017180305,-0.6783347,-0.7562673,-0.6623018,0.931023,-0.13181947,-0.60518205,-0.97973615
26.79004,26.29004,134.2952,-0.8875804,-0.28271386,-1.0079775,-1.1801274,-0.81970066,-0.08351295,-0.90764946,-0.8996388,-1.2977074,-1.241168,-1.241168,-1.241168,-2.0949593
139.58008,20.29004,73.70091,-0.35722813,0.1474598,-0.44050762,-0.97856253,-0.5505044,0.14977309,-0.62063634,-0.7937477,1.3409292,1.6723721,1.6723721,1.6723721,5.017116
198.58984,11.589844,20.12435,1.1298333,0.52466923,0.29465413,-0.5241275,1.0795903,0.38436577,0.06201674,-0.42970574,2.582912,3.221341,3.221341,3.221341,5.163669
27.200195,10.019531,14.7099085,1.3084887,0.6828876,0.12876202,-0.6423632,1.4090116,0.56383294,-0.06841037,-0.55315703,-0.36517447,2.5271204,2.028401,-0.36242226,-1.0872668
20.429688,10.110352,15.315922,0.95846695,0.3724301,0.16633072,-0.6535118,1.0644908,0.20171346,-0.006169049,-0.5663869,-0.7059799,1.8912607,0.8945876,-0.7006591,-1.1266991
69.67969,10.530273,16.654408,-0.29308975,0.66885227,0.41105753,-0.5043864,-0.33239743,0.55787665,0.2920903,-0.4517024,-0.5713556,1.7736714,0.8471208,-0.55128074,0.23163149
39.70996,18.089844,61.03447,-0.23312055,0.8837598,0.44912785,-0.5307639,-0.49477667,0.7589884,0.4174987,-0.54237324,-0.9125883,1.1939162,-0.18544377,-0.8915658,-1.1912011
88.17969,19.780273,77.14276,0.28866926,0.8198926,0.5948156,-0.42477518,-0.026558131,0.63839805,0.4796238,-0.45799598,0.41936478,1.5939636,0.79116255,0.52302086,1.5690626
