42.654,67.284,116.97,112.5,125.87,124.06
42.295,94.458,93.051,90.59,92.921,75.506
37.745,91.178,84.983,93.146,204.07,148.79
38.714,109.85,107.79,109.04,90.142,151.19
41.264,118.82,100.8,103.23,170.06,212.05
41.475,92.37,87.714,98.187,153.69,190.49
46.368,115.11,106.06,71.763,133.07,137.65
42.884,109.45,116.3,55.977,135.88,140.85
44.568,86.872,112.39,76.115,84.945,137.88
46.594,115.03,125.03,62.698,170.45,136.34
44.595,123.42,124.6,55.408,103.6,-44.493
36.496,109.34,132.52,98.022,14.87,125.34
42.027,102.99,110.03,72.452,171.25,134.46
42.181,83.992,74.609,96.566,64.722,48.457
39.917,96.651,104.59,97.817,141.13,165.98
40.405,123.23,126.08,77.471,161.24,100.46
42.922,108.53,120.05,100.95,119.92,166.48
39.923,86.773,81.111,89.821,142.15,137.12
49.651,115.07,93.245,72.297,-20.112,153.23
46.982,119.27,111.22,78.663,28.007,14.026
42.029,105.75,94.47,81.86,123.45,135
42.454,97.516,112.61,89.524,96.931,192.35
38.807,80.686,81.263,101.07,146.25,140.71
36.062,39.853,99.912,79.014,93.664,160.61
46.965,102.83,96.87,83.887,3.9545,170.61
45.973,105.92,115.06,75.941,38.87,150.92
46.135,105.1,86.07,86.02,128.29,171.24
43.843,128.5,115.66,81.431,190.51,173.55
54.175,84.083,92.893,83.683,177.25,183.81
36.364,107.7,135.22,111.2,187.38,139.29
