42.654,45.584,46.289,69.986,50.888,47.832
42.295,39.015,42.343,60.119,48.536,45.326
37.745,37.929,39.711,61.449,55.026,42.903
38.714,34.84,36.989,66.075,58.524,55.441
41.264,41.217,39.287,63.501,57.163,45.628
41.475,39.247,41.583,57.943,46.028,41.617
46.368,42.691,45.509,54.363,47.154,42.622
42.884,43.781,43.073,59.594,51.277,41.218
44.568,46.17,45.668,62.056,53.128,49.006
46.594,42.079,39.727,57.135,48.429,45.481
44.595,46.695,46.066,61.068,49.53,37.969
36.496,39.465,44.721,56.913,50.143,42.404
42.027,45.209,43.754,54.377,47.856,39.47
42.181,39.725,43.337,61.025,45.384,41.079
39.917,44.333,39.99,56.226,42.839,41.111
40.405,49.549,47.893,59.048,53.714,41.337
42.922,39.582,44.807,62.127,50.238,40.035
39.923,44.149,38.683,58.844,52.13,44.528
49.651,43.329,51.324,61.586,51.428,44.657
46.982,45.524,43.299,61.213,53.467,44.484
42.029,44.645,41.388,62.414,52.293,41.67
42.454,43.563,40.084,59.704,47.74,44.711
38.807,42.194,41.995,62.895,51.968,44.114
36.062,37.797,44.672,59.862,53.924,49.975
46.965,42.799,46.3,59.961,53.829,45.061
45.973,42.811,43.363,63.72,49.86,46.374
46.135,46.571,45.18,63.914,48.387,49.313
43.843,44.635,41.262,62.761,49.874,35.644
54.175,48.336,43.492,64.309,53.807,45.13
36.364,37.778,38.194,59.597,46.655,45.599
